URL,Search Engine,HTTP Response,Download Button
https://apkpure.net/facebook/com.facebook.katana,Bing,200,Yes
https://www.facebook.com/android_upgrade/,Bing,200,Yes
https://www.techspot.com/downloads/6048-facebook-for-android.html,Bing,200,Yes
https://facebook.en.uptodown.com/android/download,Bing,200,Yes
https://apkpurer.com/facebook/,Bing,200,Yes
https://facebook.en.uptodown.com/android,Yahoo,,Yes
https://www.facebook.com/android_upgrade/,Yahoo,200,Yes
https://in.video.search.yahoo.com/search/video?p=facebook+apk+download,Yahoo,200,Yes
https://facebook.en.uptodown.com/android,Yahoo,,Yes
https://apkpure.net/facebook/com.facebook.katana,Yahoo,200,Yes
https://facebook.en.uptodown.com/android/download,Yahoo,,Yes
https://www.apkmirror.com/apk/facebook-2/facebook/,Bing,403,No
https://apkcombo.com/facebook/com.facebook.katana/,Bing,,No
https://apkpure.net/facebook/com.facebook.katana,Yandex,200,Yes
https://facebook.en.uptodown.com/android/download,Yandex,,Yes
https://apkbog.com/en/apk/facebook,Yandex,200,Yes
https://facebook.en.softonic.com/android/download,Yandex,406,Yes
https://www.malavida.com/en/soft/facebook/android/,Yandex,200,Yes
https://apkmody.io/apps/faceapp-pro,Yahoo,403,No
https://facebook.apk.cafe/,Yandex,200,Yes
https://rawapk.com/facebook-apk-download/,Yandex,200,Yes
https://facebook.en.uptodown.com/android,DuckDuckGo,429,Yes
https://www.facebook.com/android_upgrade/,DuckDuckGo,200,Yes
https://www.techspot.com/downloads/6048-facebook-for-android.html,DuckDuckGo,200,Yes
https://apkpure.net/facebook/com.facebook.katana,DuckDuckGo,200,Yes
https://apkpurer.com/facebook/,DuckDuckGo,200,Yes
https://androidapksfree.com/facebook/com-facebook-katana/old/,Yandex,403,No
https://apkcombo.com/facebook/com.facebook.katana/,DuckDuckGo,,No
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-494-0-0-55-73-release/,DuckDuckGo,403,No
